Sick,Recoverd,Deceased,Vaccinated,Immune,Susceptible
100,0,0,0,0,900
106,15,3,0,15,876
131,49,8,0,49,812
166,71,14,0,71,749
195,97,23,0,97,685
209,146,30,0,146,615
217,185,37,40,215,531
221,217,44,80,278,457
201,269,58,120,352,389
188,312,67,160,414,331
179,347,76,200,469,276
141,395,84,240,534,241
113,422,91,280,574,222
94,446,98,320,616,192
74,468,100,360,655,171
57,481,106,400,679,158
53,489,107,440,701,139
44,499,109,480,723,124
39,506,109,520,740,112
28,517,111,560,765,96
22,523,111,600,782,85
18,527,111,640,800,71
16,529,111,680,813,60
11,533,112,720,832,45
8,537,112,760,844,36
7,537,113,800,856,24
4,540,113,840,867,16
3,541,113,880,883,1
2,541,114,884,884,0
2,541,114,884,884,0
0,543,114,886,886,0
